# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	532
#@/user_id	.backup
a 	啊	c=2 d=0.293948 t=530
liang xiang 	两项	c=2 d=1.14528 t=530
lie biao 	列表	c=2 d=1.70856 t=530
liu zi bin 	柳子彬	c=2 d=0.990693 t=530
ma 	码	c=1 d=0.498775 t=530
man 	慢	c=1 d=0.204825 t=530
mei you 	没有	c=2 d=0.291024 t=530
men 	门	c=0 d=0.0114178 t=530
ming cheng 	名称	c=3 d=2.09783 t=530
ming ling 	命令	c=4 d=1.74685 t=530
ming ling xiang jie 	命令详解	c=1 d=0.358796 t=530
mo bu zhao tou nao 	摸不着头脑	c=2 d=1.73438 t=530
mo ren 	默认	c=2 d=0.609967 t=530
mou ge 	某个	c=2 d=0.281014 t=530
mou xie 	某些	c=1 d=0.869358 t=530
mu lu 	目录	c=1 d=0.606167 t=530
mu qian 	目前	c=4 d=0.805822 t=530
na 	那	c=0 d=0.0484325 t=530
na ge 	那个	c=2 d=0.638042 t=530
na me 	那么	c=1 d=0.803162 t=530
na me zhe hui zen me yang 	那么这会怎么样	c=1 d=0.118837 t=530
na zen me xing 	那怎么行	c=1 d=0.486752 t=530
nei cun 	内存	c=4 d=0.760675 t=530
nei rong 	内容	c=2 d=0.517187 t=530
ni de 	你的	c=1 d=0.814647 t=530
pa 	怕	c=1 d=0.283654 t=530
pan 	盘	c=2 d=1.98506 t=530
pei zhi 	配置	c=1 d=0.904837 t=530
pin yin 	拼音	c=1 d=1.08806 t=530
pin zhong 	品种	c=0 d=0.0142274 t=530
qi 	其	c=3 d=0.868126 t=530
qi 	起	c=1 d=0.213312 t=530
qi zhong 	其中	c=1 d=0.748264 t=530
qian bi 	铅笔	c=1 d=0.290793 t=530
qian bi xian 	铅笔线	c=1 d=0.264477 t=530
qian ru 	嵌入	c=1 d=0.782705 t=530
qian zhe 	前者	c=0 d=0.0748264 t=530
qian zhe zi you du 	前者自由度	c=1 d=0.752014 t=530
qie huan dao 	切换到	c=1 d=0.737123 t=530
qiu shui 	秋水	c=0 d=0.0117655 t=530
qiu shui gong chang tian yi se 	秋水共长天一色	c=1 d=0.118245 t=530
qu bie 	区别	c=1 d=0.694197 t=530
qu diao 	去掉	c=1 d=0.923116 t=530
quan bu 	全部	c=2 d=0.9471 t=530
quan cheng 	全称	c=1 d=0.965605 t=530
quan pin 	全拼	c=1 d=0.496514 t=530
quan pin ma 	全拼码	c=1 d=0.451581 t=530
rang 	让	c=3 d=1.49445 t=530
ri yong 	日用	c=1 d=0.88692 t=530
rong he 	融合	c=1 d=1.04588 t=530
rong he ci 	融合词	c=3 d=2.88253 t=530
ru he 	如何	c=1 d=1.02528 t=530
ru he fang bian de 	如何方便的	c=1 d=0.980199 t=530
ru shang 	如上	c=2 d=1.04671 t=530
ru xia 	如下	c=3 d=1.39243 t=530
ruo xiang 	若想	c=1 d=0.504017 t=530
ruo xiang yao 	若想要	c=1 d=0.458406 t=530
sha 	沙	c=-1 d=0 t=530
shan 	删	c=0 d=0.1 t=531
shan bu diao 	删不掉	c=1 d=1 t=532
shan chu 	删除	c=6 d=1.04436 t=530
shan shuo 	闪烁	c=1 d=0.790571 t=530
shang mian 	上面	c=1 d=0.18084 t=530
shang mian yi hang 	上面一行	c=1 d=0.164474 t=530
she zhi 	设置	c=0 d=0.0970446 t=530
shen me 	什么	c=3 d=1.29088 t=530
shen me shi 	什么是	c=2 d=1.92639 t=530
sheng xin 	省心	c=1 d=0.771052 t=530
shi 	时	c=5 d=1.71171 t=530
shi 	是	c=41 d=29.6452 t=530
shi 	试	c=1 d=0.154101 t=530
shi fou 	是否	c=3 d=1.47259 t=530
shi fou kai qi 	是否开启	c=1 d=0.511709 t=530
shi le yi xia 	试了一下	c=1 d=0.160414 t=530
shi li 	事例	c=2 d=0.326492 t=530
shi shen me 	是什么	c=1 d=0.250324 t=530
shi shu ji 	实数集	c=1 d=0.927743 t=530
shi xian 	实现	c=2 d=0.583127 t=530
shi xiao 	失效	c=2 d=1.2913 t=530
shi xiao 	实效	c=1 d=0.644036 t=530
shi yi 	是一	c=1 d=0.178147 t=530
shi yi ge 	是一个	c=1 d=0.162026 t=530
shi yong 	使用	c=3 d=1.40454 t=530
shou dong 	手动	c=1 d=0.861042 t=530
shu 	输	c=2 d=1.88892 t=530
shu ji 	数集	c=1 d=0.937067 t=530
shu liang 	数量	c=2 d=0.353684 t=530
shu ru 	输入	c=13 d=6.86776 t=530
shu ru fa 	输入法	c=2 d=1.23824 t=530
shu ru fang an 	输入方案	c=3 d=2.53509 t=530
shu ru kuang 	输入框	c=2 d=0.995659 t=530
shu ru xi guan 	输入习惯	c=1 d=0.818731 t=530
shu ru yi ge 	输入一个	c=1 d=0.65377 t=530
shu zi 	数字	c=1 d=0.918512 t=530
shuang 	双	c=0 d=0.0142274 t=530
shuang pin 	双拼	c=3 d=0.777252 t=530
